100m Medley,25m,1:11.23,359,16 Apr 2016,Charlottetown,6th Annual Fast N Furious,Medley,100
200m Medley,25m,2:23.27,448,27 Jan 2017,Moncton,NB Open Cup/Coupe NB,Medley,200
400m Medley,25m,5:06.00,455,28 Jan 2017,Moncton,NB Open Cup/Coupe NB,Medley,400
50m Freestyle,25m,27.68,392,12 Nov 2016,Dartmouth,Invitational,Freestyle,50
100m Freestyle,25m,58.96,442,11 Dec 2016,Truro,Candy Cane Invitational,Freestyle,100
200m Freestyle,25m,2:06.38,486,9 Dec 2016,Truro,Candy Cane Invitational,Freestyle,200
400m Freestyle,25m,4:20.55,540,29 Jan 2017,Moncton,NB Open Cup/Coupe NB,Freestyle,400
800m Freestyle,25m,9:12.77,516,27 Jan 2017,Moncton,NB Open Cup/Coupe NB,Freestyle,800
1500m Freestyle,25m,17:27.10,531,11 Dec 2016,Truro,Candy Cane Invitational,Freestyle,1500
50m Butterfly,25m,30.38,369,17 Apr 2016,Charlottetown,6th Annual Fast N Furious,Butterfly,50
100m Butterfly,25m,1:02.54,464,29 Jan 2017,Moncton,NB Open Cup/Coupe NB,Butterfly,100
200m Butterfly,25m,2:26.54,406,30 Jan 2016,Moncton,NB Short Course Open ...,Butterfly,200
50m Breaststroke,25m,38.16,289,16 Apr 2016,Charlottetown,6th Annual Fast N Furious,Breaststroke,50
100m Breaststroke,25m,1:16.10,390,28 Jan 2017,Moncton,NB Open Cup/Coupe NB,Breaststroke,100
200m Breaststroke,25m,2:44.15,395,9 Dec 2016,Truro,Candy Cane Invitational,Breaststroke,200
50m Backstroke,25m,34.50,267,16 Apr 2016,Charlottetown,6th Annual Fast N Furious,Backstroke,50
100m Backstroke,25m,1:13.35,296,17 Apr 2016,Charlottetown,6th Annual Fast N Furious,Backstroke,100
200m Backstroke,25m,2:41.87,277,25 Oct 2015,Halifax,Dal IM Challenge,Backstroke,200
200m Medley,50m,2:31.02,430,7 May 2016,Halifax,ARENA Development Meet #2,Medley,200
400m Medley,50m,5:13.29,471,8 Jul 2016,Halifax,Ken Dunn Long Course Provincial ...,Medley,400
50m Freestyle,50m,29.25,365,2 Apr 2016,Halifax,Lcm #1,Freestyle,50
100m Freestyle,50m,1:00.39,468,21 Jan 2017,Quebec,Coupe de l'Est 2017 / Eastern Cup,Freestyle,100
200m Freestyle,50m,2:11.45,467,22 Jan 2017,Quebec,Coupe de l'Est 2017 / Eastern Cup,Freestyle,200
400m Freestyle,50m,4:32.74,525,21 Jan 2017,Quebec,Coupe de l'Est 2017 / Eastern Cup,Freestyle,400
800m Freestyle,50m,9:28.71,502,20 Jan 2017,Quebec,Coupe de l'Est 2017 / Eastern Cup,Freestyle,800
1500m Freestyle,50m,17:57.80,527,20 Jan 2017,Quebec,Coupe de l'Est 2017 / Eastern Cup,Freestyle,1500
50m Butterfly,50m,30.47,398,4 Jun 2016,Halifax,Age Group Development LCM #3,Butterfly,50
100m Butterfly,50m,1:05.93,431,27 Jul 2016,Calgary,Canadian Age Group Championships,Butterfly,100
200m Butterfly,50m,2:28.43,424,21 Jan 2017,Quebec,Coupe de l'Est 2017 / Eastern Cup,Butterfly,200
50m Breaststroke,50m,41.22,263,7 Jun 2015,Halifax,Ken Dunn LC Invitational,Breaststroke,50
100m Breaststroke,50m,1:21.96,352,5 Jun 2016,Halifax,Age Group Development LCM #3,Breaststroke,100
50m Backstroke,50m,39.55,224,1 Jun 2014,Halifax,Ken Dunn Invitational Long Course ...,Backstroke,50
100m Backstroke,50m,1:16.32,315,2 Apr 2016,Halifax,Lcm #1,Backstroke,100
200m Backstroke,50m,2:44.08,317,3 Apr 2016,Halifax,Lcm #1,Backstroke,200
