100m Medley,25m,2:02.17,71,9 Feb 2014,Carleton Place,CPWD Mid Winter Melt,Medley,100
200m Medley,25m,3:11.12,188,14 May 2016,Kingston,KBM Last Chance Qualifier,Medley,200
50m Freestyle,25m,35.90,179,14 May 2016,Kingston,KBM Last Chance Qualifier,Freestyle,50
100m Freestyle,25m,1:15.16,213,15 May 2016,Kingston,KBM Last Chance Qualifier,Freestyle,100
200m Freestyle,25m,2:42.09,230,16 May 2016,Ottawa,Time Trials,Freestyle,200
400m Freestyle,25m,5:34.32,255,15 May 2016,Kingston,KBM Last Chance Qualifier,Freestyle,400
50m Butterfly,25m,47.71,95,17 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Butterfly,50
50m Breaststroke,25m,51.77,116,27 Nov 2015,Cornwall,CSL Snowflake Invitational,Breaststroke,50
100m Breaststroke,25m,1:56.88,107,11 Jan 2015,Perth,Mike Brown Invitational,Breaststroke,100
200m Breaststroke,25m,4:06.77,116,17 Jan 2015,Ottawa,GO Kingfish Polar Plunge,Breaststroke,200
50m Backstroke,25m,39.85,173,1 Feb 2015,Belleville,Eastern Ontario Regional SC ...,Backstroke,50
100m Backstroke,25m,1:18.90,238,16 May 2016,Ottawa,Time Trials,Backstroke,100
200m Backstroke,25m,2:51.18,238,15 May 2016,Kingston,KBM Last Chance Qualifier,Backstroke,200
200m Medley,50m,3:19.75,185,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Medley,200
50m Freestyle,50m,36.13,193,23 Apr 2016,Ottawa,GO Kingfish April Long Course,Freestyle,50
100m Freestyle,50m,1:20.37,198,10 Apr 2016,Nepean,OYO Long Course Invitational,Freestyle,100
200m Freestyle,50m,2:49.04,219,23 Apr 2016,Ottawa,GO Kingfish April Long Course,Freestyle,200
400m Freestyle,50m,5:55.75,236,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,400
800m Freestyle,50m,12:27.12,221,8 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Freestyle,800
50m Butterfly,50m,47.84,103,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Butterfly,50
50m Breaststroke,50m,52.72,129,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Breaststroke,50
100m Breaststroke,50m,2:14.14,82,26 Apr 2014,Ottawa,April Long Course Meet,Breaststroke,100
200m Breaststroke,50m,4:04.97,139,12 Apr 2015,Nepean,OYO Long Course Invitational,Breaststroke,200
50m Backstroke,50m,37.75,258,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Backstroke,50
100m Backstroke,50m,1:22.11,253,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Backstroke,100
200m Backstroke,50m,2:54.13,265,5 Jun 2016,Nepean,Eastern Ontario Long Course ...,Backstroke,200
