100m Medley,25m,1:07.50,422,14 Jan 2017,Perth,Mike Brown Invitational,Medley,100
200m Medley,25m,2:21.66,463,10 Dec 2016,Gatineau,Grand Prix Gatineau,Medley,200
400m Medley,25m,4:57.36,496,9 Dec 2016,Gatineau,Grand Prix Gatineau,Medley,400
50m Freestyle,25m,27.24,411,14 Jan 2017,Perth,Mike Brown Invitational,Freestyle,50
100m Freestyle,25m,58.61,450,11 Dec 2016,Gatineau,Grand Prix Gatineau,Freestyle,100
200m Freestyle,25m,2:11.32,433,5 Nov 2016,Ottawa,GO Kingfish November Invitational,Freestyle,200
400m Freestyle,25m,4:46.85,405,15 Oct 2016,Nepean,Kanata Barracudas Short Course ...,Freestyle,400
800m Freestyle,25m,9:57.92,407,13 Dec 2015,Gatineau,Grand Prix - AA-AAA,Freestyle,800
1500m Freestyle,25m,19:42.66,368,15 Nov 2015,Perth,November Distance Meet,Freestyle,1500
50m Butterfly,25m,29.70,395,6 Nov 2016,Ottawa,GO Kingfish November Invitational,Butterfly,50
100m Butterfly,25m,1:04.33,426,14 Jan 2017,Perth,Mike Brown Invitational,Butterfly,100
200m Butterfly,25m,2:19.66,469,4 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Butterfly,200
50m Breaststroke,25m,41.68,222,23 May 2015,Kingston,May Wind-up Qualifier,Breaststroke,50
100m Breaststroke,25m,1:20.11,334,16 Oct 2016,Nepean,Kanata Barracudas Short Course ...,Breaststroke,100
200m Breaststroke,25m,2:48.89,363,4 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Breaststroke,200
50m Backstroke,25m,32.49,319,15 Jan 2017,Perth,Mike Brown Invitational,Backstroke,50
100m Backstroke,25m,1:06.58,396,9 Dec 2016,Gatineau,Grand Prix Gatineau,Backstroke,100
200m Backstroke,25m,2:23.64,397,15 Jan 2017,Perth,Mike Brown Invitational,Backstroke,200
200m Medley,50m,2:23.30,503,2 Jun 2017,Nepean,Eastern Ontario Long Course ...,Medley,200
400m Medley,50m,5:07.74,497,4 Jun 2017,Nepean,Eastern Ontario Long Course ...,Medley,400
50m Freestyle,50m,28.52,394,2 Jul 2016,Etobicoke,Ontario Summer LC Championships,Freestyle,50
100m Freestyle,50m,1:00.03,477,13 May 2017,Nepean,Festival of Spring,Freestyle,100
200m Freestyle,50m,2:12.84,452,21 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Freestyle,200
400m Freestyle,50m,4:52.32,426,31 Mar 2017,Nepean,Welcome to Long Course ...,Freestyle,400
800m Freestyle,50m,10:26.51,375,10 May 2015,Nepean,Festival of Spring,Freestyle,800
1500m Freestyle,50m,20:31.63,353,10 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Freestyle,1500
50m Butterfly,50m,29.27,450,2 Jun 2017,Nepean,Eastern Ontario Long Course ...,Butterfly,50
100m Butterfly,50m,1:02.36,509,30 Jun 2017,Toronto,Ontario Summer Provincial ...,Butterfly,100
200m Butterfly,50m,2:17.91,528,3 Jun 2017,Nepean,Eastern Ontario Long Course ...,Butterfly,200
50m Breaststroke,50m,38.86,314,3 Apr 2016,Nepean,Welcome to Long Course ...,Breaststroke,50
100m Breaststroke,50m,1:23.55,333,23 Apr 2016,Ottawa,GO Kingfish April Long Course,Breaststroke,100
200m Breaststroke,50m,2:55.13,381,12 May 2017,Nepean,Festival of Spring,Breaststroke,200
50m Backstroke,50m,33.20,379,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Backstroke,50
100m Backstroke,50m,1:08.46,436,2 Mar 2017,Brantford,Ontario Spring Provincial ...,Backstroke,100
200m Backstroke,50m,2:27.28,438,4 Jun 2017,Nepean,Eastern Ontario Long Course ...,Backstroke,200
