100m Medley,25m,1:36.53,141,15 Dec 2013,Gatineau,Invitation de Noel - Developpement,Medley,100
200m Medley,25m,2:24.87,433,21 Oct 2017,Nepean,Kanata Barracudas Short Course ...,Medley,200
400m Medley,25m,5:18.17,405,22 Oct 2017,Nepean,Kanata Barracudas Short Course ...,Medley,400
50m Freestyle,25m,25.54,499,2 Feb 2019,Nepean,Eastern Ontario Regional ...,Freestyle,50
100m Freestyle,25m,55.36,534,8 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Freestyle,100
200m Freestyle,25m,2:07.95,468,8 Dec 2017,Pointe-Claire,Invitation Provinciale AA-AAA ...,Freestyle,200
400m Freestyle,25m,4:38.65,441,21 Oct 2017,Nepean,Kanata Barracudas Short Course ...,Freestyle,400
800m Freestyle,25m,9:43.53,438,4 Nov 2017,Ottawa,ROCS Duel Meet,Freestyle,800
1500m Freestyle,25m,19:33.51,377,26 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Freestyle,1500
50m Butterfly,25m,27.89,477,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Butterfly,50
100m Butterfly,25m,1:01.94,467,7 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Butterfly,100
200m Butterfly,25m,2:22.85,438,9 Dec 2018,Pointe-Claire,Invitation Provinciale AA-AAA ...,Butterfly,200
50m Breaststroke,25m,35.83,349,2 Feb 2018,Belleville,Eastern Ontario Regional SC ...,Breaststroke,50
100m Breaststroke,25m,1:17.53,369,3 Feb 2019,Nepean,Eastern Ontario Regional ...,Breaststroke,100
200m Breaststroke,25m,3:01.21,293,4 Nov 2017,Ottawa,ROCS Duel Meet,Breaststroke,200
50m Backstroke,25m,32.13,330,3 Nov 2018,Ottawa,ROC Swimming Duel Meet,Backstroke,50
100m Backstroke,25m,1:11.08,325,26 Nov 2016,Montreal-Nord,Invitation provinciale AA et AAA ...,Backstroke,100
200m Backstroke,25m,2:52.40,230,7 Nov 2015,Ottawa,ROC Swimming Duel,Backstroke,200
200m Medley,50m,2:26.73,468,1 Jun 2018,Nepean,Eastern Ontario Long Course ...,Medley,200
400m Medley,50m,5:38.66,373,1 Apr 2017,Nepean,Welcome to Long Course ...,Medley,400
50m Freestyle,50m,26.12,513,9 Mar 2019,Unionville,Spring Ontario Youth-Junior ...,Freestyle,50
100m Freestyle,50m,56.63,568,3 Jun 2018,Nepean,Eastern Ontario Long Course ...,Freestyle,100
200m Freestyle,50m,2:08.50,500,29 Jun 2018,Unionville,Ontario Summer AA Championships,Freestyle,200
400m Freestyle,50m,4:59.55,396,31 Mar 2017,Nepean,Welcome to Long Course ...,Freestyle,400
800m Freestyle,50m,10:28.77,371,7 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Freestyle,800
1500m Freestyle,50m,19:37.68,404,7 Apr 2018,Ottawa,ROCS Distance & Pentathlon,Freestyle,1500
50m Butterfly,50m,27.88,520,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Butterfly,50
100m Butterfly,50m,1:03.53,482,8 Mar 2019,Unionville,Spring Ontario Youth-Junior ...,Butterfly,100
200m Butterfly,50m,2:33.39,384,3 Jun 2017,Nepean,Eastern Ontario Long Course ...,Butterfly,200
50m Breaststroke,50m,36.83,349,3 May 2019,Gatineau,Open,Breaststroke,50
100m Breaststroke,50m,1:20.14,362,3 Jun 2018,Nepean,Eastern Ontario Long Course ...,Breaststroke,100
200m Breaststroke,50m,3:13.84,279,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Breaststroke,200
50m Backstroke,50m,33.84,358,9 Apr 2017,Nepean,Ottawa Youth Olympians VORGEE ...,Backstroke,50
100m Backstroke,50m,1:10.56,396,1 Jun 2018,Nepean,Eastern Ontario Long Course ...,Backstroke,100
200m Backstroke,50m,2:45.96,306,23 Apr 2016,Ottawa,GO Kingfish April Long Course,Backstroke,200
