YoungAge,14
OldAge,17

Event,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,17,
50Free,,,,,00:26.72,00:26.06,00:25.70,00:25.05,,,,,0,0,0,0,
100Free,,,,,00:58.26,00:56.63,00:55.89,00:54.32,,,,,0,0,0,0,
200Free,,,,,02:07.94,02:04.13,02:02.42,01:58.80,,,,,0,0,0,0,
400Free,,,,,04:33.68,04:25.87,04:21.81,04:15.18,,,,,0,0,0,0,
800Free,,,,,09:28.28,09:14.80,09:10.79,08:55.04,,,,,0,0,0,0,
1500Free,,,,,18:06.16,17:43.22,17:32.60,17:08.48,,,,,0,0,0,0,
50Back,,,,,00:29.29,00:29.29,00:29.29,00:29.29,,,,,3,2,1,0,
100Back,,,,,01:06.25,01:04.40,01:03.37,01:01.31,,,,,0,0,0,0,
200Back,,,,,02:24.12,02:20.34,02:18.24,02:14.32,,,,,0,0,0,0,
50Breast,,,,,00:31.80,00:31.80,00:31.80,00:31.80,,,,,3,2,1,0,
100Breast,,,,,01:14.87,01:12.53,01:11.21,01:09.46,,,,,0,0,0,0,
200Breast,,,,,02:43.57,02:38.71,02:36.06,02:31.71,,,,,0,0,0,0,
50Fly,,,,,00:27.24,00:27.24,00:27.24,00:27.24,,,,,3,2,1,0,
100Fly,,,,,01:03.92,01:01.78,01:00.84,00:59.18,,,,,0,0,0,0,
200Fly,,,,,02:26.27,02:20.85,02:17.90,02:13.51,,,,,0,0,0,0,
100IM,,,,,,,,,,,,,,,,,
200IM,,,,,02:24.63,02:20.76,02:18.78,02:14.85,,,,,0,0,0,0,
400IM,,,,,05:10.80,05:01.96,04:58.51,04:50.32,,,,,0,0,0,0,
