YoungAge,13
OldAge,16

Event,13,14,15,16,13,14,15,16,13,14,15,16,13,14,15,16,
50Free,,,,,00:28.55,00:27.99,00:27.81,00:27.29,,,,,0,0,0,0,
100Free,,,,,01:02.27,01:00.69,01:00.17,00:58.94,,,,,0,0,0,0,
200Free,,,,,02:15.42,02:11.95,02:10.38,02:07.57,,,,,0,0,0,0,
400Free,,,,,04:46.78,04:40.43,04:37.36,04:31.63,,,,,0,0,0,0,
800Free,,,,,09:50.56,09:41.73,09:32.62,09:21.43,,,,,0,0,0,0,
1500Free,,,,,19:10.94,18:43.99,18:35.01,18:11.55,,,,,0,0,0,0,
50Back,,,,,,,,,,,,,,,,,
100Back,,,,,01:10.65,01:08.65,01:07.79,01:05.97,,,,,0,0,0,0,
200Back,,,,,02:32.37,02:28.46,02:26.64,02:22.97,,,,,0,0,0,0,
50Breast,,,,,,,,,,,,,,,,,
100Breast,,,,,01:20.36,01:18.11,01:17.56,01:15.78,,,,,0,0,0,0,
200Breast,,,,,02:53.62,02:48.73,02:47.77,02:42.80,,,,,0,0,0,0,
50Fly,,,,,,,,,,,,,,,,,
100Fly,,,,,01:08.73,01:06.75,01:05.89,01:04.35,,,,,0,0,0,0,
200Fly,,,,,02:36.66,02:30.70,02:29.46,02:24.40,,,,,0,0,0,0,
100IM,,,,,,,,,,,,,,,,,
200IM,,,,,02:33.71,02:29.84,02:28.23,02:24.90,,,,,0,0,0,0,
400IM,,,,,05:27.24,05:19.28,05:15.05,05:08.43,,,,,0,0,0,0,
